Microsoft.AppliedSciences.Audio.AcousticEchoCancellation,{29a1b366-5544-5a0a-0ce1-754b0a046e66}
Microsoft.AppliedSciences.Audio.AcousticEchoCancellationInternal,{0763820a-f7e6-5fdb-dbff-30c57f29bf05}
Microsoft.AppliedSciences.Audio.NUIAudio,{c0a47bff-457f-5018-574b-473403aedd62}
Microsoft.AppListBackupLauncher,{f1edbd1a-2f62-4a29-b67b-0a5a5060053d}
Microsoft.Apps.RingtoneMaker,{d496c3ab-c2b8-407b-a8bc-14dec42aacfb}
Microsoft.Apps.Stubs,{dd73c382-264d-571b-e898-f622381ecc74}
Microsoft.ASG.Perception,{ab71fe82-3742-446b-982a-1fedbb7d9594}
Microsoft.Azure.RemoteRendering.API,{9388a5e0-0649-4b2a-a147-d92bfb243eb1}
Microsoft.AzureStack.Deployment,{b69cf1c4-ddba-4e55-8b40-4a23ec8ccc97}
Microsoft.AzureStack.Deployment.Downloader,{e95efe48-41c7-4044-8687-5249af298cf2}
Microsoft.AzureStack.Deployment.EceDeployment,{b3ac0429-f834-4d3a-86b7-724fae5b8641}
Microsoft.AzureStack.HCI.Billing,{2ff5e5e0-f026-5ad2-d4df-c34ab696d0a3}
Microsoft.AzureStack.HCI.Service,{8b4ecbf2-4812-592e-279a-ea14cdc70d42}
Microsoft.AzureStack.HLH,{80feec77-c205-4933-a92e-dea70b428003}
Microsoft.AzureStack.Services,{b2d8925f-3762-5e0c-9e90-23b316549c09}
Microsoft.Beihai.Bigpark.Engineering,{660b55b4-ae96-5919-fdd8-e92f3dc550e6}
Microsoft.Beihai.Common.Diagnostics,{f76a9420-fdca-473a-8621-aeb8d9b6a51e}
Microsoft.Beihai.Consumption.ModelViewer,{d18212b7-1c54-5587-ee33-86339bbae9ad}
Microsoft.Beihai.Consumption.OneP3D.Shell,{c423dec9-3f0e-45df-ada6-0eddf3222edd}
Microsoft.Beihai.Core.Canvas,{0d481997-5998-51af-4ea5-afefe9651b0f}
Microsoft.Beihai.Core.ScanWindowsApp,{676d034e-963c-51f0-8f32-cafcc8b2f23f}
Microsoft.Beihai.Core.View3D,{a4b9f70a-e150-4ad5-9a94-5976076b23ae}
